SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
PFC,EQ,182.0,183.9,181.8,183.2,183.3,182.4,6403213,1173070794.55,01-JUN-2023,37074,INE134E01011,
PFC,N2,1105.1,1105.1,1105.0,1105.0,1105.0,1115.0,500,552510.0,01-JUN-2023,2,INE134E07349,
PFC,N3,1209.05,1209.05,1209.05,1209.05,1209.05,1278.95,139,168057.95,01-JUN-2023,1,INE134E07588,
PFC,N5,1150.0,1150.0,1148.0,1148.0,1148.0,1144.0,66,75856.0,01-JUN-2023,3,INE134E07208,
PFC,N8,1320.0,1322.0,1311.6,1317.19,1321.0,1320.0,901,1186933.9,01-JUN-2023,14,INE134E07463,
PIDILITIND,EQ,2618.0,2669.0,2614.05,2651.55,2651.45,2607.85,478918,1269904160.15,01-JUN-2023,31124,INE318A01026,
PIIND,EQ,3645.0,3645.0,3506.1,3519.55,3513.8,3616.8,258530,918685771.35,01-JUN-2023,33913,INE603J01030,
PNB,EQ,51.85,52.25,51.55,51.7,51.7,51.85,29135650,1514105219.75,01-JUN-2023,48802,INE160A01022,
POLYCAB,EQ,3450.0,3488.95,3409.0,3482.4,3483.0,3423.5,346059,1196443179.4,01-JUN-2023,28971,INE455K01017,
POWERGRID,EQ,232.95,234.1,230.05,233.0,233.1,233.85,6603593,1536559000.75,01-JUN-2023,80254,INE752E01010,
PVRINOX,EQ,1422.0,1424.85,1411.95,1416.2,1413.05,1415.35,246275,349087529.8,01-JUN-2023,15010,INE191H01014,
RAMCOCEM,EQ,904.45,916.4,901.1,908.3,908.0,904.1,290889,264943596.5,01-JUN-2023,10149,INE331A01037,
RBLBANK,EQ,162.85,171.6,162.5,168.5,168.55,162.1,22614405,3817506042.8,01-JUN-2023,84767,INE976G01028,
RECLTD,EQ,142.15,142.45,140.4,140.6,140.8,141.55,6036123,854101726.5,01-JUN-2023,35582,INE020B01018,
RECLTD,N8,1049.9,1049.9,1049.79,1049.79,1049.79,1047.0,83,87132.68,01-JUN-2023,5,INE020B07HR4,
RECLTD,N9,1186.5,1196.0,1184.0,1184.0,1184.0,1190.0,424,503277.87,01-JUN-2023,8,INE020B07HS2,
RECLTD,NE,1055.0,1055.0,1055.0,1055.0,1055.0,1050.95,100,105500.0,01-JUN-2023,1,INE020B07IF7,
